DATE,DGS10,interest rate %,r(t+1)-r(t),a(b-r(t)),(r(t+1)-r(t)-a(b-r(t)),,pdf,ln(pdf),,,,,sum of ln(PDF),,Vol Constraint:
9/29/1999,5.97,0.0597,,,,,,,,,Long-term mean (b):,0.000814455,,,0
9/30/1999,5.9,0.059,-0.0007,-0.000709874,9.87E-06,,699.6394165,6.550565083,,,mean reverting speed (a):,0.012055142,,,
10/1/1999,6,0.06,0.001,-2.68E-05,0.001026764,,138.243377,4.929015733,,,volitility:,0.000570126,33799.24507,,
10/4/1999,5.95,0.0595,-0.0005,0,-0.0005,,476.3491065,6.166151002,,,,,,,
10/5/1999,6.02,0.0602,0.0007,0,0.0007,,329.3001094,5.796969522,,,b:,0.0814455,,,
10/6/1999,6.04,0.0604,0.0002,0,0.0002,,657.9867524,6.489184798,,,,,,,
10/7/1999,6.05,0.0605,1.00E-04,0,1.00E-04,,689.062848,6.535332483,,,,,,,
10/8/1999,6.04,0.0604,-1.00E-04,0,-1.00E-04,,689.062848,6.535332483,,,,,,,
10/11/1999,.,#VALUE!,#VALUE!,0,#VALUE!,,#VALUE!,#VALUE!,,,,,,,
10/12/1999,6.07,0.0607,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,,,,,
10/13/1999,6.12,0.0612,0.0005,0,0.0005,,476.3491065,6.166151002,,,,,,,
10/14/1999,6.17,0.0617,0.0005,0,0.0005,,476.3491065,6.166151002,,,,,,,
10/15/1999,6.09,0.0609,-0.0008,0,-0.0008,,261.4468719,5.566231096,,,,,,,
10/18/1999,6.12,0.0612,0.0003,0,0.0003,,609.2763793,6.41227199,,,,,,,
10/19/1999,6.18,0.0618,0.0006,0,0.0006,,402.1973239,5.996942824,,,,,,,
10/20/1999,6.19,0.0619,0.0001,0,0.0001,,689.062848,6.535332483,,,,,,,
10/21/1999,6.2,0.062,0.0001,0,0.0001,,689.062848,6.535332483,,,,,,,
10/22/1999,6.21,0.0621,1.00E-04,0,1.00E-04,,689.062848,6.535332483,,,,,,,
10/25/1999,6.22,0.0622,1.00E-04,0,1.00E-04,,689.062848,6.535332483,,,,,,,
10/26/1999,6.24,0.0624,0.0002,0,0.0002,,657.9867524,6.489184798,,,,,,,
10/27/1999,6.19,0.0619,-0.0005,0,-0.0005,,476.3491065,6.166151002,,,,,,,
10/28/1999,6.12,0.0612,-0.0007,0,-0.0007,,329.3001094,5.796969522,,,,,,,
10/29/1999,6.02,0.0602,-0.001,0,-0.001,,150.2737867,5.012458875,,,,,,,
11/1/1999,6.06,0.0606,0.0004,0,0.0004,,547.0794604,6.304594058,,,,,,,
11/2/1999,6.04,0.0604,-0.0002,0,-0.0002,,657.9867524,6.489184798,,,,,,,
11/3/1999,6.01,0.0601,-0.0003,0,-0.0003,,609.2763793,6.41227199,,,,,,,
11/4/1999,5.95,0.0595,-0.0006,0,-0.0006,,402.1973239,5.996942824,,,,,,,
